name,price,link,label, image_url
,,/property/details-9339969.html,Brand New 2 B/R with Store & Balcony,
,,/property/details-9359876.html,Brand New 2 B/R with Store & Balcony| Ensuite Bath,
,,/property/details-9398172.html,Brand New| 1 B/R | Balcony | Pool & Gym,
,,/property/details-9409517.html,2 B/R | with Store & Balcony | Brand New Apt,
,,/property/details-9669497.html,Fully Furnished | Well Maintained | Garden View,
,,/property/details-9657449.html,Type I Villa | Ready to Move | Near the Park,
,,/property/details-9645349.html,Type E Villa | With Study | Big Garden,
,,/property/details-8955232.html,1 Month Free | Burjuman Vista | New Launch | 3 Mins Walk Metro Barjuman | Luxury Building,
,,/property/details-9230484.html,1 Month Free | Burjuman Vista | New Launch |  Connected Mall & Metro | Luxury Building,
,,/property/details-9319837.html,1 B/R with Balcony + Store | Brand New | Pool & Gym,
,,/property/details-9319953.html,Brand New 1 B/R with Balcony & Store| Semi-furnished,
,,/property/details-9320115.html,Semi-furnished 1 B/R | Balcony & Store| Brand New,
,,/property/details-9320576.html,Brand New 2 B/R with Balcony & Store | Equipped Kitchen,
,,/property/details-9491091.html,Brand New-High Floor-Fitted Kitchen-Grab Now!,
,,/property/details-9812334.html,Pool View // With Two Washrooms // Amazing Layout // 1BR Available for Rent,
,,/property/details-9390158.html,Type 2E Villa |Available in Mid-October| With Study,
,,/property/details-9460166.html,End Unit | Spacious | Landscaped | Ready to Move,
,,/property/details-9566652.html,2 Bedroom Apartment - Barsha 1 - Close to metro,
,,/property/details-9696907.html,Available Now / Close To Park & School / Single Row,
,,/property/details-9742090.html,1BR + Maid | Spacious | Unfurnished | Inquire,
,,/property/details-8859517.html,Chiller Free | Close to Metro | Open View | Kitchen Appliances,
,,/property/details-9199197.html,Lagoon View | Fully Furnished | Vacant,
,,/property/details-9140602.html,No Commission | Walking Distance to Metro | Store Room | All Amenities,
,,/property/details-9813627.html,Brand New | Specious Layout | High Floor,
